Model,length,Query Length,Hardware,Host,PUE,WUE (Site),WUE (Source),Size,Mean Max Energy (Wh),Mean Min Energy (Wh),Mean Max Carbon (gCO2e),Mean Min Carbon (gCO2e),"Mean Max Water (Site, mL)","Mean Min Water (Site, mL)","Mean Max Water (Source, mL)","Mean Min Water (Source, mL)",Energy Consumption of 1 Billion Prompts (MWh),Carbon Emissions of 1 Billion Prompts (TonsCO2e),Water Consumption of 1 Billion Prompts (Kiloliter),Household Energy Equiv. – 1B Prompts (MWh),People Annual Drinking Water Equiv. – 1B Prompts (kL),Gasoline Car Equiv. – 1B Prompts (TonsCO2e),Atlantic Flight Equiv. – 1B Prompts (TonsCO2e)
GPT-5 mini (minimal),Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,2.806371282449787,2.2107043519992953,0.9541662360329276,0.7516394796797603,0.7517065935133358,0.5921529514283824,12.207715078656571,9.616563931196934,2508.537817224541,852.9028578563441,11584.06927739761,2290.9021161867954,9653.391064498008,185.41366475137917,1.692267575111794
Mistral Medium 3,Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Large,6.014338383250809,5.062245239895203,2.0448750503052753,1.7211633815643694,1.6109834955136093,1.3559585464005008,26.16237196714102,22.020766793544137,5538.291811573006,1883.0192159348228,25575.04040129963,5057.800741162563,21312.533667749693,409.3520034640919,3.7361492379659182
GPT-4o (Aug),Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Large,2.576787940819049,2.168872394003878,0.8761078998784766,0.7374166139613184,0.690211055576531,0.58094796267961,11.209027542562865,9.434594913916865,2372.830167411463,806.7622569198976,10957.390737367934,2166.9681894168616,9131.158947806613,175.3830993304125,1.6007187637299556
Llama 4 Maverick,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,0.3179662112668415,0.237044070606311,0.0953898633800524,0.0711132211818933,0.0502051912526591,0.0374280111483649,1.6279870016862286,1.2136656415043128,277.5051409365763,83.25154228097288,1464.6429227957829,253.42935245349435,1220.5357689964858,18.09816136542889,0.1651816315098668
Llama 3.1 405B Latency Optimized,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Large,5.109141550312335,4.30034458404381,1.5327424650937007,1.290103375213143,0.806706560575632,0.6790017764279699,26.158804737599155,22.0177642703043,4704.743067178071,1411.422920153422,24831.138672453533,4296.569011121526,20692.615560377944,306.83106959857,2.80044230189171
Llama 3.1 405B Standard,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Large,23.34194567752165,19.646824948359203,7.0025837032564935,5.8940474845077615,3.685570370134997,3.1021302550040852,119.51076186891082,100.59174373559914,21494.385312940423,6448.315593882128,113445.10311482452,19629.575628256094,94537.58592902044,1401.8077378004627,12.79427697198835
GPT-4o (Nov),Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Large,3.784578982412844,3.1854654191192195,1.2867568540203669,1.0830582425005348,1.0137265131462974,0.8532496658355052,16.462918573495866,13.856774573168606,3485.0222007660313,1184.907548260451,16093.33466282314,3182.668676498659,13411.112219019284,257.58859744792414,2.3510070401993075
Llama 3.3 70B,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Medium,1.537716327652395,1.2113280231096246,0.4613148982957185,0.3633984069328875,0.2427973148924834,0.1912623194383618,7.87310759758026,6.20199947832128,1374.52217538101,412.3566526143029,7254.583355116193,1255.2713930420182,6045.486129263494,89.64275056832672,0.8181679615363153
GPT-5 nano (minimal),Long,1500,DGX H200/H100,Azure,1.12,0.3,4.35,Small,0.8757240729497213,0.6920516082112029,0.2977461848029052,0.235297546791809,0.2345689481115324,0.1853709664851436,3.8093997173312872,3.0104244957187323,783.887840580462,266.5218657973571,3619.8820638233474,715.8793064661754,3016.5683865194565,57.939536042903725,0.528813225788407
Llama 4 Scout,Long,1500,DGX H200/H100,AWS,1.14,0.18,5.12,Micro,0.3489307458425666,0.2601281564625278,0.1046792237527699,0.0780384469387583,0.0550943282909315,0.0410728668098728,1.7865254187139412,1.3318561610881428,304.52945115254727,91.35883534576418,1607.2743874514445,278.1090878105455,1339.395322876204,19.860616379513953,0.1812675304479448
