Model,length,Query Length,Hardware,Host,PUE,WUE (Site),WUE (Source),Size,Mean Max Energy (Wh),Mean Min Energy (Wh),Mean Max Carbon (gCO2e),Mean Min Carbon (gCO2e),"Mean Max Water (Site, mL)","Mean Min Water (Site, mL)","Mean Max Water (Source, mL)","Mean Min Water (Source, mL)",Energy Consumption of 1 Billion Prompts (MWh),Carbon Emissions of 1 Billion Prompts (TonsCO2e),Water Consumption of 1 Billion Prompts (Kiloliter),Household Energy Equiv. – 1B Prompts (MWh),People Annual Drinking Water Equiv. – 1B Prompts (kL),Gasoline Car Equiv. – 1B Prompts (TonsCO2e),Atlantic Flight Equiv. – 1B Prompts (TonsCO2e)
GPT-5 (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,18.4783263343556,15.553135451743827,6.282630953680903,5.288066053592901,4.949551696702392,4.166018424574238,80.38071955444686,67.65613921508563,17015.730893049713,5785.348503636902,78576.21444540456,15539.48026762531,65480.17870450381,1257.68445731237,11.478866078644646
Claude 4.5 Sonnet,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,4.027127924567152,3.3896179209607618,1.2081383773701455,1.0168853762882286,0.635862303879024,0.5352028296253833,20.618894973783824,17.354843755319102,3708.3729227639574,1112.511876829187,19572.401931303662,3386.6419385972213,16310.334942753056,241.85040800634505,2.2073648349785455
GPT-5 (medium),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,8.938083488732227,7.523150130798644,3.0389483861689572,2.557871044471539,2.3941295059104184,2.0151294993210644,38.880663175985184,32.7257030689741,8230.616809765435,2798.4097153202483,38007.81262509539,7516.545031749256,31673.17718757949,608.3499381130976,5.552400228810017
DeepSeek V3.2,Short,300,DGX H800,DeepSeek,1.27,1.2,6.016,Large,14.551415104994202,12.247869533602897,8.730849062996523,7.348721720161737,13.74936860314413,11.57279011049092,87.54131327164514,73.68318311415499,13399.64231929855,8039.785391579128,93273.3275497176,12237.116273332009,77727.77295809801,1747.7794329519843,15.95195514202208
Grok 4,Short,300,DGX H200/H100,xAI,1.5,0.36,3.142,Large,5.608485221990866,4.720640211583828,2.159266810466483,1.8174464814597744,1.3460364532778075,1.132953650780119,17.621860567495297,14.832251544796392,5164.562716787348,1988.356645963129,17466.551108174805,4716.495631769268,14555.459256812335,432.2514447745933,3.945152075323669
GPT-5 mini (high),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,16.495850123987946,12.994519965011351,5.608589042155903,4.418136788103859,4.418531283211058,3.48067499062804,71.75694803934756,56.52616184779938,14745.185044499653,5013.362915129882,68091.15808049303,13465.922415068177,56742.631733744194,1089.8615032891048,9.94714864113072
Kimi K2 Thinking,Short,300,DGX H200/H100,AWS,1.14,0.18,5.12,Large,5.215250145261816,4.3896557759765535,1.5645750435785448,1.3168967327929657,0.8234605492518657,0.6931035435752453,26.7020807437405,22.47503757299995,4802.4529606191845,1440.7358881857556,25346.841204783777,4385.801790519803,21122.367670653148,313.20345395342514,2.858602952749515
GPT-5 (low),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Large,3.036832357551902,2.5560899914094097,1.0325230015676468,0.8690705970791992,0.8134372386299736,0.6846669619846631,13.21022075535077,11.11899146263093,2796.4611744806552,950.796799323423,12913.658209298168,2553.845821443521,10761.381841081808,206.6949563746572,1.8865015859591725
GPT-5 mini (medium),Short,300,DGX H200/H100,Azure,1.12,0.3,4.35,Medium,3.1621927443292956,2.491000854187386,1.0751455330719608,0.8469402904237112,0.8470159136596328,0.6672323716573354,13.755538437832437,10.835853715715126,2826.5967992583405,961.0429117478362,13052.820219432266,2581.366939961955,10877.350182860222,208.9223721190949,1.9068311741028496
Claude 4 Sonnet,Short,300,DGX H200/H100,Anthropic,1.14,0.18,5.12,Large,4.757025098060386,4.003969534833864,1.4271075294181157,1.201190860450159,0.7511092260095344,0.6322057160263995,24.35596850206917,20.500324018349385,4380.497316447126,1314.1491949341373,23119.803731227246,4000.454170271348,19266.50310935604,285.6846075943777,2.607438878837574
